Converted Code:  BNB
Wallet contents: 553.43414
Wallet contents of converted code: 0.10169789
Converted code:  BTC
Network minimums:
 - Code: ETHAGLD                            30
 - Code: ETHSTPT                            663
 - Code: FIAT_MONEYMXN                      0
 - Code: FIAT_MONEYUGX                      0
 - Code: BSCRENBTC                          1.17E-05
 - Code: ETHRENBTC                          0.00164
 - Code: ETHGLM                             183
 - Code: SOLRAY                             0.6000000000000001
 - Code: BNBNEAR                            0.07200000000000001
 - Code: BSCNEAR                            0.07200000000000001
 - Code: NEARNEAR                           0.21000000000000002
 - Code: ETHAUDIO                           42
 - Code: HNTHNT                             1.05
 - Code: ETFADADOWN                         0
 - Code: ETHCDT                             540
 - Code: BSCSPARTA                          6
 - Code: ETHSUSD                            45
 - Code: BSCFARM                            0.0042
 - Code: ETHFARM                            0.6000000000000001
 - Code: AIONAION                           0.30000000000000004
 - Code: ETHAION                            534
 - Code: ETHNPXS                            13392
 - Code: DGBDGB                             0.6000000000000001
 - Code: ETHZRX                             96
 - Code: BCDBCD                             0.03
 - Code: BSCEASY                            0.039
 - Code: ETHEASY                            5.46
 - Code: ONTWING                            0.0072
 - Code: ETHWNXM                            1.71
 - Code: BCHBCH                             0.003
 - Code: BNBBCH                             0.00117
 - Code: BSCBCH                             0.00117
 - Code: ETHBCH                             0.163
 - Code: BSCJST                             8.91
 - Code: TRXJST                             150
 - Code: ETFADAUP                           0
 - Code: ETHHOT                             10503
 - Code: ARAR                               0.13
 - Code: IRISIRIS                           3
 - Code: BSCRAMP                            2.52
 - Code: ETHRAMP                            342
 - Code: BCXBCX                             1
 - Code: FIAT_MONEYSEK                      0
 - Code: TRIGTRIG                           101
 - Code: ETHRCN                             1617
 - Code: ETHCOVER                           0.015
 - Code: NEOFLM                             2.5
 - Code: ETHGNO                             0.257
 - Code: BSCVITE                            6.84
 - Code: VITEVITE                           3
 - Code: ETHGNT                             20
 - Code: BNBBKRW                            20
 - Code: BSCCFX                             2.19
 - Code: ETHXPR                             3
 - Code: BSCSFP                             0.42000000000000004
 - Code: BSCDIA                             0.39
 - Code: ETHDIA                             54
 - Code: ETHRDN                             162
 - Code: ARDRARDR                           6
 - Code: ETHLOOMOLD                         230
 - Code: NEBLNEBL                           0.03
 - Code: ETHSLPOLD                          614
 - Code: BNBBEL                             0.33
 - Code: BSCBEL                             0.33
 - Code: ETHBEL                             42
 - Code: BSCJUV                             0.03
 - Code: CHZJUV                             1
 - Code: CHZACM                             1
 - Code: MINAMINA                           3
 - Code: ETFGRTDOWN                         0
 - Code: VETVTHO                            600
 - Code: ETHSALT                            15.600000000000001
 - Code: ETHSTORM                           300
 - Code: ETHREN                             90
 - Code: ETHREP                             4.14
 - Code: ADAADA                             11
 - Code: BNBADA                             0.33
 - Code: BSCADA                             0.33
 - Code: BNBELF                             1.23
 - Code: BSCELF                             1.23
 - Code: ETHELF                             168
 - Code: ETHREQ                             456
 - Code: ETHSTORJ                           78
 - Code: FIAT_MONEYCHF                      0
 - Code: BSCBZRX                            2.16
 - Code: ETHBZRX                            297
 - Code: EOSADD                             300
 - Code: ETHSGT                             600
 - Code: BSCDF                              3.54
 - Code: ETHDF                              483
 - Code: ETHRARE                            51
 - Code: ETFEOSDOWN                         0
 - Code: ETHPAXG                            0.05399999999999999
 - Code: YOYOYOYO                           3
 - Code: BNBPAX                             10
 - Code: BSCPAX                             10
 - Code: ETHPAX                             45
 - Code: BSCCHR                             2.04
 - Code: ETHCHR                             279
 - Code: FIAT_MONEYVND                      0
 - Code: ETFBCHDOWN                         0
 - Code: WAVESWAVES                         0.006
 - Code: BNBCHZ                             2.25
 - Code: ETHCHZ                             309
 - Code: BSCADX                             1.32
 - Code: ETHADX                             180
 - Code: BNBXRP                             0.66
 - Code: BSCXRP                             0.66
 - Code: XRPXRP                             20.5
 - Code: ETHWPR                             4836
 - Code: FIAT_MONEYAED                      0
 - Code: SOLFIDA                            0.75
 - Code: ETHSAND                            126
 - Code: FIAT_MONEYDKK                      0
 - Code: BSCOCEAN                           0.81
 - Code: ETHOCEAN                           111
 - Code: BSCFOR                             7.199999999999999
 - Code: ETHFOR                             987
 - Code: ETHUMA                             8.52
 - Code: ETHDREPOLD                         1983
 - Code: BSCSCRT                            0.11699999999999999
 - Code: SCRTSCRT                           0.30000000000000004
 - Code: BNBTUSD                            11
 - Code: BSCTUSD                            0.72
 - Code: ETHTUSD                            45
 - Code: BSCEZ                              0.14100000000000001
 - Code: ETHEZ                              18.42
 - Code: BNBTKO                             0.36
 - Code: BSCTKO                             0.36
 - Code: ETHWABI                            420
 - Code: BNBIDRT                            10200
 - Code: ETHIDRT                            1402665
 - Code: ETHENG                             1
 - Code: ETHENJ                             54
 - Code: ETFUNIDOWN                         0
 - Code: BNBYFII                            0.00018
 - Code: BSCYFII                            0.00018
 - Code: ETHYFII                            0.025300000000000003
 - Code: FIAT_MONEYKZT                      0
 - Code: BSCOAX                             2.43
 - Code: ETHOAX                             333
 - Code: ETHGRT                             102
 - Code: GRSGRS                             0.6000000000000001
 - Code: BNBUND                             15
 - Code: ETHUND                             15
 - Code: BSCHARD                            0.72
 - Code: KAVAHARD                           0.30000000000000004
 - Code: THETATFUEL                         7.949999999999999
 - Code: ETHLEND                            3
 - Code: ETHDLT                             924
 - Code: BNBTROY                            42
 - Code: ETHTROY                            5802
 - Code: ETFXLMUP                           0
 - Code: BNBUNI                             0.0272
 - Code: BSCUNI                             0.0272
 - Code: ETHUNI                             3.7800000000000002
 - Code: ETFBTCDOWN                         0
 - Code: BSCTLM                             3.87
 - Code: ETHTLM                             798
 - Code: FIAT_MONEYHUF                      0
 - Code: SBTCSBTC                           0.0015
 - Code: CKBCKB                             101
 - Code: BNBWRX                             0.54
 - Code: BSCWRX                             0.54
 - Code: ETHWRX                             75
 - Code: BNBXTZ                             0.11099999999999999
 - Code: BSCXTZ                             0.12000000000000001
 - Code: XTZXTZ                             1.1
 - Code: LUNALUNA                           5.02
 - Code: ETFETHDOWN                         0
 - Code: ETHAGI                             249
 - Code: BNBBCHA                            0.0081
 - Code: BSCBCHA                            0.0084
